UserID,Username,AgeGroup,Country,Verified
1,@calm_mind1,Teen,US,False
2,@meme_lord2,Teen,Germany,False
3,@pixel_pusher3,Teen,India,True
4,@critic994,Teen,Germany,False
5,@techie425,Adult,US,True
6,@rage_user6,Adult,US,False
7,@calm_mind7,Teen,UK,True
8,@designer_dan8,Adult,India,False
9,@pixel_pusher9,Adult,US,True
10,@social_queen10,Teen,Germany,True
11,@stream_bot11,Teen,Canada,True
12,@rage_user12,Teen,Brazil,False
13,@pixel_pusher13,Senior,Canada,True
14,@calm_mind14,Adult,UK,False
15,@pixel_pusher15,Teen,Germany,True
16,@calm_mind16,Teen,India,False
17,@meme_lord17,Senior,UK,True
18,@pixel_pusher18,Teen,Brazil,False
19,@designer_dan19,Teen,Canada,False
20,@social_queen20,Adult,Germany,True
21,@techie4221,Adult,Germany,True
22,@social_queen22,Teen,India,True
23,@techie4223,Adult,Canada,True
24,@designer_dan24,Teen,US,True
25,@stream_bot25,Teen,India,True
26,@daily_vibes26,Teen,Germany,False
27,@rage_user27,Adult,US,False
28,@techie4228,Adult,Brazil,False
29,@meme_lord29,Senior,India,True
30,@rage_user30,Teen,Canada,True
31,@calm_mind31,Senior,Germany,False
32,@calm_mind32,Adult,US,False
33,@critic9933,Adult,Canada,True
34,@designer_dan34,Teen,Germany,True
35,@critic9935,Teen,UK,False
36,@techie4236,Senior,US,False
37,@rage_user37,Adult,India,False
38,@stream_bot38,Adult,Brazil,False
39,@pixel_pusher39,Adult,India,False
40,@social_queen40,Teen,Canada,False
41,@techie4241,Adult,Germany,True
42,@techie4242,Adult,India,True
43,@stream_bot43,Senior,UK,True
44,@rage_user44,Adult,Brazil,False
45,@pixel_pusher45,Adult,Canada,False
46,@daily_vibes46,Adult,India,True
47,@daily_vibes47,Senior,Canada,True
48,@daily_vibes48,Teen,India,False
49,@designer_dan49,Adult,India,True
50,@calm_mind50,Adult,India,False
