SentimentScore,avg_likes,avg_retweets,avg_total_engagement
-0.97,83.0,13.0,96.0
-0.86,68.0,10.0,78.0
-0.84,47.0,25.0,72.0
-0.83,16.0,7.5,23.5
-0.8,118.0,15.5,133.5
-0.79,75.0,7.0,82.0
-0.78,106.0,43.0,149.0
-0.77,68.0,4.0,72.0
-0.76,78.0,47.0,125.0
-0.72,96.0,33.0,129.0
-0.71,40.5,32.5,73.0
-0.7,136.0,33.0,169.0
-0.69,50.0,32.0,82.0
-0.66,28.0,42.0,70.0
-0.64,48.0,24.0,72.0
-0.62,48.0,27.5,75.5
-0.61,148.0,35.0,183.0
-0.6,86.0,37.0,123.0
-0.58,103.0,23.0,126.0
-0.54,55.0,25.5,80.5
-0.47,21.0,46.0,67.0
-0.45,101.0,42.0,143.0
-0.44,125.0,45.0,170.0
-0.42,115.0,9.0,124.0
-0.4,114.0,21.0,135.0
-0.37,53.0,25.0,78.0
-0.36,100.5,19.0,119.5
-0.33,141.0,6.0,147.0
-0.31,46.0,13.0,59.0
-0.3,45.0,46.0,91.0
-0.27,110.5,37.5,148.0
-0.25,109.0,47.0,156.0
-0.23,139.0,2.0,141.0
-0.22,10.0,42.0,52.0
-0.21,127.0,31.0,158.0
-0.2,138.0,46.0,184.0
-0.18,90.0,37.0,127.0
-0.15,89.0,47.0,136.0
-0.1,42.0,23.0,65.0
-0.09,27.0,40.0,67.0
-0.05,88.0,22.0,110.0
-0.03,23.0,27.0,50.0
0.04,110.0,38.0,148.0
0.06,37.0,30.0,67.0
0.09,52.0,33.0,85.0
0.12,3.0,26.0,29.0
0.13,114.0,45.0,159.0
0.15,72.0,44.0,116.0
0.16,138.0,20.0,158.0
0.19,70.5,23.5,94.0
0.23,19.5,24.0,43.5
0.24,116.0,5.0,121.0
0.28,135.0,13.0,148.0
0.31,132.0,6.0,138.0
0.35,31.0,32.5,63.5
0.38,75.0,39.0,114.0
0.39,47.0,23.0,70.0
0.41,34.0,19.0,53.0
0.43,124.0,38.0,162.0
0.44,147.0,23.5,170.5
0.47,93.0,19.0,112.0
0.49,129.0,17.0,146.0
0.6,121.67,32.0,153.67
0.61,64.0,26.0,90.0
0.69,74.67,32.33,107.0
0.72,110.0,12.0,122.0
0.76,6.0,13.0,19.0
0.77,134.0,31.0,165.0
0.81,90.5,34.5,125.0
0.82,138.0,42.0,180.0
0.83,141.0,48.0,189.0
0.84,89.0,32.0,121.0
0.88,42.0,27.5,69.5
0.89,108.0,14.0,122.0
0.9,59.0,47.5,106.5
0.97,108.0,50.0,158.0
0.98,79.5,12.5,92.0
0.99,128.0,24.5,152.5
1.0,11.0,0.0,11.0
